,A薬品庫右,A薬品庫左,B薬品庫,冷蔵①,冷蔵②,冷蔵③,冷蔵④,冷蔵⑤,冷蔵⑥,冷凍,D薬品庫,無水箱,個人所有,その他,3階試薬庫,none,メーカー名,規格名,CAS No.,内容量,内容量単位,未開封,開封,SMILES,構造式,官能基,,薬品名（日本語Ⅰ）,薬品名（日本語Ⅱ）,薬品名（日本語Ⅲ）,薬品名（英語Ⅰ）,薬品名（英語Ⅱ）,薬品名（英語Ⅲ）,メーカー（日本語）,メーカー（英語）,規格（日本語）,規格（英語）,内容量,内容量単位（日本語）,内容量単位（英語）,比重,保存方法（日本語）,保存方法（英語）,廃棄区分（日本語）,廃棄区分（英語）,PRTR 種別（薬品）,PRTR 管理番号（薬品）,PRTR 含有率（%）（薬品）,CAS No.,薬品ラベルバーコードNo.,製品番号,標準価格（円）,示性式,容器区分（日本語）,容器区分（英語）,形状,純度規格,式量,物性,管理方法（日本語）,管理方法（英語）,管理方法単位（日本語）,管理方法単位（英語）,計量方法（日本語）,計量方法（英語）,計量方法単位（日本語）,計量方法単位（英語）,入力方法（日本語）,入力方法（英語）,使用期限・未開封（年）,使用期限・未開封（日）,使用期限・開封（年）,使用期限・開封（日）,オリジナルワード,SDS（英語）,構造式（日本語）,構造式（英語）,分子式,増減許容値（+）,増減許容値（+）単位（日本語）,増減許容値（+）単位（英語）,増減許容値（-）,増減許容値（-）単位（日本語）,増減許容値（-）単位（英語）,増減許容値（%+）,増減許容値（%-）
"塩化すず(II), 99.9% (10g)",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),-, 7772-99-8,10,g,1,0,,,,,"塩化すず(II), 99.9% (10g)",,,"Tin(II) Chloride, 99.9%",,,富士フイルム和光純薬(株),,-,-,10,g,g,3.95,室温,,-,-,,,, 7772-99-8,4.99E+12,200-11493,5060,SnCl2,,,,97+%(Titration),,mp. 246℃ bp. 623℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化ｾｼｳﾑ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,関東化学株式会社,-, 7647-17-8,25,g,1,0,,,,,塩化ｾｼｳﾑ,,,Cesium chloride,,,関東化学株式会社,"Kanto Chemical Co., Inc.",-,-,25,g,g,1,-,-,-,-,,,, 7647-17-8,0718532Q,07185-32,3800,CsCl,ガラスビン,,,>98.0%(T),168.3575,mp.646℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化チオニル (500mL),FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光特級, 7719-09-7,500,ml,1,0,,,,,塩化チオニル (500mL),,,Thionyl Chloride,,,富士フイルム和光純薬(株),,和光特級,,500,ml,ml,1.65,室温,,-,-,,,, 7719-09-7,4.99E+12,200-01106,4900,SOCl2,,,,95+%(Titration),,mp. -104.5℃ bp. 80℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化チタン(IV) (25g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光特級, 7550-45-0,25,g,1,0,,,,,塩化チタン(IV) (25g),,,Titanium(IV) Chloride,,,富士フイルム和光純薬(株),,和光特級,,25,g,g,1.74,室温,,-,-,,,, 7550-45-0,4.99E+12,202-12592,2240,TiCl4,,,,99+%,,mp. -24℃ bp. 137℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化ナトリウム (500g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 7647-14-5,500,g,3,0,,,,,塩化ナトリウム (500g),,,Sodium Chloride,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,500,g,g,2.164,室温,,-,-,,,, 7647-14-5,4.99E+12,191-01665,1050,NaCl,,,,99.5+%(Titration),,mp. 801℃ bp. 1413℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化ニッケル(Ⅱ)(無水),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ナカライテスク（株）,ＥＰ, 7718-54-9,25,g,1,0,,,,,塩化ニッケル(Ⅱ)(無水),,,"Nickel(Ⅱ) Chloride, Anhydrous",,,ナカライテスク（株）,,ＥＰ,,25,g,g,1,-,-,-,-, 特1,309,100, 7718-54-9,1FX4Y,24224-82,2450,NiCl2,,,,≧95.0%(T),129.6,bp. 973℃(昇華),単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化ニッケル(II)六水和物 (25g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 7791-20-0,25,g,1,0,,,,,塩化ニッケル(II)六水和物 (25g),,,Nickel(II) Chloride Hexahydrate,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,25,g,g,1,室温,,-,-, 特1,309,24.7, 7791-20-0,4.99E+12,147-01042,2200,NiCl2・6H2O,,,,98+%(NiCl2･6H2O)(mas,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化パラジウム(II) (1g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 7647-10-1,1,g,1,0,,,,,塩化パラジウム(II) (1g),,,Palladium(II) Chloride,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,1,g,g,1,室温,,-,-,,,, 7647-10-1,4.99E+12,166-00051,15800,PdCl2,,,,99+%(Titration),,mp. 678℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"塩化マグネシウム, 無水",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,米山薬品工業株式会社,無機化合物, 7786-30-3,500,g,1,0,,,,,"塩化マグネシウム, 無水",,,Magnesium Chloride,,,米山薬品工業株式会社,,無機化合物,,500,g,g,2.32,冷暗貯蔵,,-,-,,,, 7786-30-3,4.99E+12,136-03995,2400,MgCl2,-,-,灰白色、雲母状又は塊,97+％ (TITR,95.21,,単位管理,Unit Management,本,本,-,-,,,-,-,10,,,,mg,,,,,,,,,,,,
塩化ﾏｸﾞﾈｼｳﾑ六水和物,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,関東化学株式会社,鹿1級, 7791-18-6,500,g,1,1,,,,,塩化ﾏｸﾞﾈｼｳﾑ六水和物,,,Magnesium chloride hexahydrate,,,関東化学株式会社,"Kanto Chemical Co., Inc.",鹿1級,,500,g,g,1,-,-,-,-,,,, 7791-18-6,2500901H,25009-01,1700,MgCl2･6H2O,-,-,"無色又は白い結晶,フレーク状又は粉末",>98.0%(T),203.3022,mp.117℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,CL2／MG1,,,,,,,,
塩化マンガン(II)四水和物 (25g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 13446-34-9,25,g,1,0,,,,,塩化マンガン(II)四水和物 (25g),,,Manganese(II) Chloride Tetrahydrate,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,25,g,g,2.01,室温,,-,-,1,412,27.8, 13446-34-9,4.99E+12,139-00722,1500,MnCl2・4H2O,,,,99+%(Titration),,mp. 58℃ bp. 106℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化ﾘﾁｳﾑ,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,関東化学株式会社,鹿特級, 7447-41-8,100,g,0,1,,,,,塩化ﾘﾁｳﾑ,,,Lithium chloride,,,関東化学株式会社,"Kanto Chemical Co., Inc.",鹿特級,,100,g,g,1,-,-,-,-,,,, 7447-41-8,2412220D,24122-20,10500,LiCl,ガラスビン,,"白,結晶",>99.0%(T),42.42,mp.605℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化リチウム(500g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光一級, 7447-41-8,500,g,1,0,,,,,塩化リチウム(500g),,,Lithium Chloride,,,富士フイルム和光純薬(株),,和光一級,,500,g,g,2.068,室温,,-,-,,,, 7447-41-8,4.99E+12,124-01175,7600,LiCl,,,,98+%,,"mp. 605℃ bp. 1,382℃",単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化ルテニウム(III)n水和物,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,キシダ化学株式会社,-, 14898-67-0,1,g,1,0,,,,,塩化ルテニウム(III)n水和物,,,,,,キシダ化学株式会社,,-,-,1,g,g,1,,,-,-,,,, 14898-67-0,,020-68601,3100,Cl3Ru,-,-,黒色の結晶～塊,36～42%,207.43,,単位管理,Unit Management,－,－,-,-,,,-,-,0,,99,99,,,,,CL3／RU1,,,,,,,,
塩化亜鉛 (10g),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 7646-85-7,10,g,1,0,,,,,塩化亜鉛 (10g),,,Zinc Chloride,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,10,g,g,2.91,室温,,-,-,1,1,48, 7646-85-7,4.99E+12,263-00271,2200,ZnCl2,,,,98+%(mass/mass)(ZnCl,,mp. 293℃ bp. 732℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化鉄(II)四水和物 (25g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 13478-10-9,25,g,2,0,,,,,塩化鉄(II)四水和物 (25g),,,Iron(II) Chloride Tetrahydrate,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,25,g,g,1.93,室温,,-,-,,,, 13478-10-9,4.99E+12,095-00912,2300,FeCl2・4H2O,,,,99～102%(FeCl2･4H2O),,mp. 670℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化鉄(III)六水和物(塩化第二鉄),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,関東化学株式会社,特級, 10025-77-1,25,g,1,0,,,,,塩化鉄(III)六水和物(塩化第二鉄),,,Iron(III) chloride hexahydrate,,,関東化学株式会社,"Kanto Chemical Co., Inc.",特級,,25,g,g,1,-,-,-,-,,,, 10025-77-1,1601830J,16018-30,1800,FeCl3･6H2O,ガラスビン,,"黄～褐色,結晶塊",>99.0%(T),270.2932,mp.37℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,CL3／FE1,,,,,,,,
塩化銅(Ⅰ),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ナカライテスク（株）,特級(ＧＲ), 7758-89-6,25,g,0,1,,,,,塩化銅(Ⅰ),,,Copper(Ⅰ) Chloride,,,ナカライテスク（株）,,特級(ＧＲ),,25,g,g,1,-,-,-,-,,,, 7758-89-6,0KDN6,09508-42,1800,CuCl,,,,≧95.0%(T),99,mp. 422℃ bp. 1366℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化銅(II) (500g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),化学用, 7447-39-4,500,g,0,1,,,,,塩化銅(II) (500g),,,Copper (II) Chloride,,,富士フイルム和光純薬(株),,化学用,,500,g,g,3.39,室温,,-,-,1,272,47.3, 7447-39-4,4.99E+12,036-04145,4460,CuCl2,,,,95+%(Titration),,mp. 630℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩化銅(II)二水和物 (25g),FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 10125-13-0,25,g,1,0,,,,,塩化銅(II)二水和物 (25g),,,Copper(II) Chloride Dihydrate,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,25,g,g,2.51,室温,,-,-,1,272,37.3, 10125-13-0,4.99E+12,038-04122,1760,CuCl2・2H2O,,,,99+%(CuCl2･2H2O)(mas,,mp. 100℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩酸 (500mL),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 7647-01-0,500,ml,2,0,,,,,塩酸 (500mL),,,Hydrochloric Acid,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,500,ml,ml,1.18,冷暗貯蔵,,-,-,,,, 7647-01-0,4.99E+12,080-01066,1050,HCl,,,,,,mp. -46℃ bp. 108℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
塩酸ロメフロキサシン,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,東京化成工業株式会社,-, 98079-52-8,25,g,1,0,,,,,塩酸ロメフロキサシン,,,Lomefloxacin Hydrochloride,,,東京化成工業株式会社,,-,-,25,g,g,1,-,-,-,-,,,, 98079-52-8,T4GKG,L0216,17600,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,,,,,,,,,
過マンガン酸カリウム (25g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 7722-64-7,25,g,1,0,,,,,過マンガン酸カリウム (25g),,,Potassium Permanganate,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,25,g,g,2.703,室温,,-,-,1,412,34.8, 7722-64-7,4.99E+12,167-04182,2500,KMnO4,,,,99.3+%(Titration),,mp. 240℃ ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
過塩素酸 (100g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),試薬特級 [JISマーク認定品目], 7601-90-3,100,g,1,0,,,,,過塩素酸 (100g),,,Perchloric Acid,,,富士フイルム和光純薬(株),,試薬特級 [JISマーク認定品目],,100,g,g,1.54,冷暗貯蔵,,-,-,1,602,100, 7601-90-3,4.99E+12,166-00713,5500,HClO4,,,,,,mp. -17℃ bp. 203℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
過塩素酸銅(II)水和物,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Aldrich,-, 10294-46-9,5,g,1,0,,,,,過塩素酸銅(II)水和物,,,"Copper(II) perchlorate hexahydrate, 98%",,,Aldrich,,-,-,5,g,g,2.225,室温,,-,-,1,272,100, 10294-46-9,4.55E+12,215392,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
過酸化ベンゾイル,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ナカライテスク（株）,ＣＰ, 94-36-0,25,g,1,0,,,,,過酸化ベンゾイル,,,Benzoyl Peroxide,,,ナカライテスク（株）,,ＣＰ,,25,g,g,1,冷暗貯蔵,,-,-,,,, 94-36-0,09H7E,04422-02,2300,(C6H5CO)2O2,,,,≧98.0%（乾燥後）(T),242.23,mp. 105℃(分解) ,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
過酸化水素 (過酸化水素水) (500mL),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),精密分析用, 7722-84-1,500,ml,1,0,,,,,過酸化水素 (過酸化水素水) (500mL),,,Hydrogen Peroxide,,,富士フイルム和光純薬(株),,精密分析用,,500,ml,ml,1.11,冷暗貯蔵,,-,-,,,, 7722-84-1,4.99E+12,086-07445,2600,H2O2,,,,,,mp. -11℃ bp. 106℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
海砂 (20～30mesh),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,米山薬品工業株式会社,-,,500,g,1,0,,,,,海砂 (20～30mesh),,,"Sea Sand (Sand, washed, 20～30mesh)",,,米山薬品工業株式会社,,-,-,500,g,g,1,室温,,-,-,,,,,,,0,,-,-,,,,,単位管理,Unit Management,本,本,-,-,,,-,-,10,,,,,,,,,,,,,,,,
海砂 A,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,ナカライテスク（株）,-, 14808-60-7,500,g,1,0,,,,,海砂 A,,,Sea Sand A,,,ナカライテスク（株）,,-,-,500,g,g,1,-,-,-,-,,,, 14808-60-7,1THC1,30551-15,2250,,,,破砕状　　粒径：１５～２０メッシュ,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"海砂, 300～600μm (30～50mesh) (500g)",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),-,,500,g,1,0,,,,,"海砂, 300～600μm (30～50mesh) (500g)",,,"Sea Sand, 300～600μm(30～50mesh)",,,富士フイルム和光純薬(株),,-,-,500,g,g,1,室温,,-,-,,,,,4.99E+12,191-15955,1850,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
"活性炭素, 粉末 (500g)",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光特級, 7440-44-0,500,g,1,0,,,,,"活性炭素, 粉末 (500g)",,,"Charcoal, Activated, Powder",,,富士フイルム和光純薬(株),,和光特級,,500,g,g,1.95,室温,,-,-,,,, 7440-44-0,4.99E+12,037-02115,4500,C,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
酸化ｱﾙﾐﾆｳﾑ 90,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Merck KGaA (Merck Millipore),ｶﾗﾑｸﾛﾏﾄｸﾞﾗﾌｨｰ用, 1344-28-1,1,kg,1,0,,,,,酸化ｱﾙﾐﾆｳﾑ 90,,,ALUMINIUM OXIDE 90,,,Merck KGaA (Merck Millipore),,ｶﾗﾑｸﾛﾏﾄｸﾞﾗﾌｨｰ用,,1,kg,kg,1,-,-,-,-,,,, 1344-28-1,,1097-1M,,Al2O3,-,-,,,101.9613,,単位管理,Unit Management,本,本,-,-,,,-,-,,,,,,,,,AL2／O3,,,,,,,,
"酸化マグネシウム, 軽質 (25g)",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光一級, 1309-48-4,25,g,1,0,,,,,"酸化マグネシウム, 軽質 (25g)",,,"Magnesium Oxide, Light",,,富士フイルム和光純薬(株),,和光一級,,25,g,g,3.58,室温,,-,-,,,, 1309-48-4,4.99E+12,138-06652,7170,MgO,,,,98+%(After Ignition),,"mp. 2800℃ bp. 3,600℃",単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
酸化りん(V) (500g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),和光特級, 1314-56-3,500,g,1,0,,,,,酸化りん(V) (500g),,,Phosphorus(V) Oxide,,,富士フイルム和光純薬(株),,和光特級,,500,g,g,2.39,室温,,-,-,,,, 1314-56-3,4.99E+12,161-23865,2900,P2O5,,,,98+%(Titration),,mp. 340℃ bp. 605℃,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
試薬特級 1-ブタノール,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SAJ,JIS special grade, 71-36-3,500,ml,1,0,,,,,試薬特級 1-ブタノール,,,"1-Butanol, JIS special grade, >=99.0%",,,SAJ,,JIS special grade,,500,ml,ml,0.81,室温,,-,-,,,, 71-36-3,4.55E+12,03-4560,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
試薬特級　アンモニア水,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SAJ,JIS special grade, 1336-21-6,500,ml,1,0,,,,,試薬特級 アンモニア水､28%,,,"Ammonium hydroxide solution, JIS special grade, 28.0-30.0% NH3",,,SAJ,,JIS special grade,,500,ml,ml,0.9,冷蔵貯蔵,,-,-,,,, 1336-21-6,4.55E+12,01-4320,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
試薬特級 チオシアン酸カリウム,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SAJ,JIS special grade, 333-20-0,25,g,1,0,,,,,試薬特級 チオシアン酸カリウム,,,"Potassium thiocyanate, JIS special grade, >=99.5%",,,SAJ,,JIS special grade,,25,g,g,1,室温,,-,-,,,, 333-20-0,4.55E+12,24-5710,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
試薬特級 トルエン,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SAJ,JIS special grade, 108-88-3,500,ml,1,0,,,,,試薬特級 トルエン,,,"Toluene, JIS special grade, >=99.5%",,,SAJ,,JIS special grade,,500,ml,ml,0.865,室温,,-,-,1,300,100, 108-88-3,4.55E+12,30-3280,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
試薬特級 ヘキサン (n-ヘキサン),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,SAJ,JIS special grade, 110-54-3,3,L,1,0,,,,,試薬特級 ヘキサン (n-ヘキサン),,,"Hexane, JIS special grade, >=96.0%",,,SAJ,,JIS special grade,,3,L,L,0.659,室温,,-,-,1,392,100, 110-54-3,4.55E+12,13-0790,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
試薬特級 メタノール,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,SAJ,JIS special grade, 67-56-1,3,L,1,0,,,,,試薬特級 メタノール,,,"Methanol, JIS special grade, >=99.8%",,,SAJ,,JIS special grade,,3,L,L,0.791,室温,,-,-,,,, 67-56-1,4.55E+12,19-2410,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
試薬特級 塩化鉄(Ⅲ)六水和物,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,SAJ,JIS special grade, 10025-77-1,25,g,1,0,,,,,試薬特級 塩化鉄(Ⅲ)六水和物,,,"Iron(III) chloride hexahydrate, JIS special grade, >=99.0%",,,SAJ,,JIS special grade,,25,g,g,1,室温,,-,-,,,, 10025-77-1,4.55E+12,15-1140,,,,,,,,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
酒石酸水素アンモニウム(500g),FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,富士フイルム和光純薬(株),-, 3095-65-6,500,g,1,0,,,,,酒石酸水素アンモニウム(500g),,,Ammonium Hydrogen Tartrate,,,富士フイルム和光純薬(株),,-,-,500,g,g,1,室温,,-,-,,,, 3095-65-6,4.99E+12,011-02915,6300,NH4HC4H4O6,,,,95+%(Titration),,,単位管理,Unit Management,－,－,-,-,,,-,-,,,,,,,,,,,,,,,,,
